Periodo;Codigo usuario;Factura;Estrato;Ciclo;COD Municipio;Estado;Consumo;Normalizado;Promedio;Dias_Facturados;ID_Mes;es_estacional
202410;1;32011148;12;2;601;A;8.0;8.65480450919449;8.0;29;1;1
202409;1;31769673;12;2;601;A;8.0;8.044736599757998;8.0;31;2;1
202408;1;31527800;12;2;601;A;9.0;8.999664177734301;9.0;31;3;1
202407;1;31279774;12;2;601;A;8.0;8.136327857999394;10.0;30;4;1
202406;1;31044759;12;2;601;A;9.0;9.039389874167437;10.0;31;5;1
202405;1;30803584;12;2;601;A;8.0;8.205272836060399;10.0;30;6;1
202404;1;30566977;12;2;601;A;9.0;9.077530770460987;10.0;31;7;1
202403;1;30332642;12;2;601;A;10.0;10.266601994511452;11.0;30;8;1
202402;1;30096646;12;2;601;A;12.0;11.753999877035216;11.0;32;9;1
202401;1;29864400;12;2;601;A;13.0;13.305826197603691;11.0;30;10;1
202312;1;29631059;12;2;601;A;11.0;11.00076763566991;11.0;31;11;1
202311;1;29401330;12;2;601;A;10.0;10.331519322726493;12.0;30;12;1
202310;1;29169436;12;2;601;A;9.0;9.357926438876492;13.0;30;13;1
202309;1;28940057;12;2;601;A;13.0;13.05597735174367;13.0;31;14;1
202308;1;28711401;12;2;601;A;12.0;12.482344887582002;13.0;30;15;1
202307;1;28490336;12;2;601;A;14.0;14.014722416746169;13.0;31;16;1
202306;1;28256412;12;2;601;A;14.0;14.075350033456882;12.0;31;17;1
202305;1;28031035;12;2;601;A;13.0;13.541290660930411;12.0;30;18;1
202304;1;27805537;12;2;601;A;17.0;17.596176654309204;11.0;30;19;1
202303;1;27582440;12;2;601;A;13.0;13.307997795161482;11.0;31;20;1
202302;1;27358673;12;2;601;A;13.0;13.636531577350535;12.0;30;21;1
202301;1;27136906;12;2;601;A;11.0;11.431155117006544;12.0;30;22;1
202212;1;26918955;12;2;601;A;8.0;8.369551566050612;12.0;30;23;1
202211;1;26696150;12;2;601;A;13.0;13.67688807820159;12.0;30;24;1
202210;1;26477623;12;2;601;A;14.0;13.872534844235162;12.0;31;25;1
202209;1;26272986;12;2;601;A;13.0;12.731479158805639;12.0;31;26;1
202208;1;26044663;12;2;601;A;16.0;16.441363909065245;12.0;30;27;1
202207;1;25834668;12;2;601;A;9.0;9.804236541481847;13.0;29;28;1
202206;1;25616413;12;2;601;A;13.0;13.084341625121999;15.0;31;29;1
202205;1;25404616;12;2;601;A;12.0;12.234298721376646;16.0;30;30;1
202204;1;25197367;12;2;601;A;11.0;10.795758153169581;16.0;31;31;1
202203;1;24984751;12;2;601;A;16.0;16.246409370754833;16.0;31;32;1
202202;1;24778285;12;2;601;A;15.0;15.579599362486151;16.0;30;33;1
202201;1;24571288;12;2;601;A;13.0;13.75532630532648;15.0;30;34;1
202112;1;24366532;12;2;601;A;27.0;27.35901505500062;13.0;30;35;1
202111;1;24165686;12;2;601;A;19.0;18.039311823966717;13.0;32;36;1
202110;1;23961509;12;2;601;A;13.0;13.674204737843187;15.0;30;37;1
202109;1;23761495;12;2;601;A;13.0;14.409017574268383;14.0;28;38;1
202108;1;23565496;12;2;601;A;14.0;15.639252168295977;14.0;28;39;1
202107;1;23365399;12;2;601;A;12.0;12.289387348294243;13.0;30;40;1
202410;2;32011149;13;2;601;A;13.0;13.596178767762153;10.0;29;1;1
202409;2;31769674;13;2;601;A;14.0;14.269755199069463;9.0;31;2;1
202408;2;31527801;13;2;601;A;10.0;10.167275515896298;10.0;31;3;1
202407;2;31279775;13;2;601;A;16.0;16.45016960647098;7.0;30;4;1
202406;2;31044760;13;2;601;A;13.0;13.214381038094992;6.0;31;5;1
202405;2;30803585;13;2;601;A;8.0;8.24780254556148;5.0;30;6;1
202404;2;30566978;13;2;601;A;0.0;0.0;5.0;31;7;1
202403;2;30332644;13;2;601;A;11.0;11.593126702178756;4.0;30;8;1
202402;2;30096647;13;2;601;A;13.0;12.464633342280562;2.0;32;9;1
202401;2;29864402;13;2;601;A;2.0;2.1063603518086675;3.0;30;10;1
202312;2;29631060;13;2;601;A;2.0;1.9582274912894468;3.0;31;11;1
202311;2;29401335;13;2;601;A;2.0;2.061061771652841;4.0;30;12;1
202310;2;29169437;13;2;601;A;2.0;2.0481686191954247;6.0;30;13;1
202309;2;28940058;13;2;601;A;4.0;3.916950297132069;10.0;31;14;1
202308;2;28711402;13;2;601;A;2.0;2.0545775873702974;14.0;30;15;1
